source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
The first type is just say the ID card which is carried externally by the person.,The first type is just to say the ID card which is carried externally by the person.,"4,3,4,4,3","4,2,4,3,3","4,4,3,3,4",lstm,3.6,3.2,3.6
"As their clothes were mass collected and washed by an external company, the ability to have a tracking system to know the whereabouts of their clothing helps in terms of the logistical hassle.","As their clothes were mass collected and washed by an external company, the ability to have a tracking system to know the whereabouts of their clothing helps in terms of the logistical hassle.","4,4,4,3,4","4,4,4,3,3","4,4,4,4,4","lstm,copy-net,cnn",3.8,3.6,4.0
"In economic, we can use GDP to explain the challenge, if GDP is low, it shows that most of people are living in a hard life, life quality is bad, then it will cause the terrible society problem, at last, it will happen the society disturbance.","In economics, we can use GDP to explain the challenge, if GDP is low, it shows that most people are living a hard life, quality of life is bad, then it will cause terrible society problem, at last, it will happen society disturbance.","3,3,3,2,2","3,3,3,2,1","4,3,3,3,3",smt,2.6,2.4,3.2
"In addition, it is also a challenge for government, family and parents to educate their children about the moral of filial.","In addition, it is also a challenge for the government, families and parents to educate their children about the morals of filial.","4,4,4,4,3","4,3,4,4,3","4,4,3,3,4",smt,3.8,3.6,3.6
"However, although these bureaucratic actions prevent another similar attack from happening again, the act is widely criticized for its violation over individual privacy.","However, although these bureaucratic actions prevent another similar attack from happening again, the act is widely criticized for its violation over individual privacy.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,cnn",4.0,4.0,4.0
"In another a word, people will feel that the boss or the company treats them like goods, because modern people need more homage not money.","In other words, people will feel that the boss or the company treats them like goods, because modern people need more homage, not money.","4,4,4,3,3","4,3,4,3,2","4,4,3,2,2",copy-net,3.6,3.2,3.0
The rising life expectancies best prove these improvements and have definitely written a new chapter on the history human civilisation.,The rising life expectancies best prove these improvements and have definitely written a new chapter on the history of human civilization.,"4,4,3,3,3","4,4,3,2,2","4,4,4,2,4",transformer,3.4,3.0,3.6
People are able to predicate some disasters like the earth quake and do the prevention beforehand.,People are able to predicate some disasters like the earthquake and the prevention beforehand.,"4,3,4,2,1","4,3,3,3,1","4,3,3,3,0",lstm,2.8,2.8,3.25
There is only one thing different.,There is only one thing different.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4",smt,4.0,4.0,4.0
"Disabled people walks with artificial legs, man can getting pregnant, even the sexual of a human can be changed just by doing simple surgery.","Disabled people walk with artificial legs, man can get pregnant, even the sex of humans can be changed just by doing simple surgery.","4,3,3,1,3","4,3,3,1,3","4,2,3,1,4",smt,2.8,2.8,2.8
This is the interpretation of challenge for rising life expectancies.,This is the interpretation of challenge for rising life expectations.,"3,2,4,3,1","4,2,4,3,1","4,4,4,3,0",transformer,2.6,2.8,3.75
It is difficult to keep economy functioning well.,It is difficult to keep operating the economy well.,"4,3,4,3,4","4,3,4,3,4","4,3,2,3,1",transformer,3.6,3.6,2.6
"It is a progress of human being that we control the world and maintain our population with longer life expectancies, but it also has potential crisis for either nation or the human being.","It is a progress of human being that we control the world and maintain our population with longer life expectancies, but it also has a potential crisis for either nation or the human being.","3,4,3,3,2","4,3,3,3,1","4,4,4,3,4","lstm,cnn",3.0,2.8,3.8
Pressure can really cause sickness just like virus and germs and it is more like a chronic disease.,Pressure can really cause sickness just like virus and germs and it is more like a chronic disease.,"3,4,3,4,3","4,3,3,4,2","4,4,4,4,4",transformer,3.4,3.2,4.0
"Besides illness, the improvement of technology generates more food both in quantity and in quality.","Besides illness, the improvement of technology generates more food both in quantity and quality.","4,4,4,4,2","4,3,4,4,2","4,4,4,4,4",transformer,3.6,3.4,4.0
"According to news, the police force had mobilized thousand of cops, each of them prepared on duty and patrol in an allocated place all over the country and after few months, none of them was able to find Mat Selamat and rearrested him.","According to news, the police force had mobilized thousand cops, each of them prepared on duty and patrol in an allocated place all over the country and after few months, none of them were able to find Mat Selamat and rearrested him.","3,2,2,3,2","3,2,2,3,2","4,3,4,3,4",cnn,2.4,2.4,3.6
People fell into panic when they knew that they had lost the harmony and peace in their country and the government had no choice but keep claiming that their country is still in safety mode.,People fell into panic when they knew that they had lost harmony and peace in their country and the government had no choice but to keep claiming that their country is still in safety mode.,"4,3,4,4,4","4,3,4,4,3","4,3,4,3,4","copy-net,transformer",3.8,3.6,3.6
"During the work, supervisor usually asks the so called "" old staff' to lead the newbie.","During the work, supervisor usually asks the so called "" old staff' to lead the newbie.","3,2,3,4,3","4,2,3,4,2","4,4,4,4,4",cnn,3.0,3.0,4.0
"More interestingly, this technology is being used in human identification, even planting the chip into human body.","More interestingly, this technology is being used in human identification, even planting the chip into human body.","3,3,4,4,3","3,3,4,4,3","4,4,4,3,4",lstm,3.4,3.4,3.8
This clearly illustrates how a corrupted government may breach its civilians' privacy.,This clearly illustrates how a corrupt government may breach its civilians' privacy.,"4,3,4,4,4","4,3,4,4,4","4,3,3,3,4","smt,cnn",3.8,3.8,3.4
Technology can be a very useful tool if being used in the correct manner.,Technology can be a very useful tool if you are used in the correct manner.,"3,3,3,4,3","4,2,2,4,3","3,2,2,3,1",transformer,3.2,3.0,2.2
More variation of medical needs was required to help increase the life expectancy of any human.,More variations of medical needs was required to help increase the life expectancy of any human.,"3,3,3,4,1","4,3,3,4,1","4,4,4,4,0",smt,2.8,3.0,4.0
"Furthermore, thanks to the development of technology, that the birth rate is increasing while the death rate is decreasing accelerates population aging and increasing.","Furthermore, thanks to the development of technology, the birth rate is increasing while the death rate is decreasing accelerating the aging population and increasing.","3,3,2,3,0","4,3,2,3,1","4,3,4,3,0",transformer,2.75,2.6,3.5
An example is the modern method of intense farming.,An example is the modern method of intense farming.,"4,3,4,4,4","4,2,4,4,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.8,3.6,4.0
"At the same time, we also need to consider the negative effects brought by the ageing population, and then find proper measures to counter the challenges.","At the same time, we also need to consider the negative effects brought by the ageing population, and then find proper measures to counter the challenges.","4,3,4,4,3","4,3,4,4,3","4,4,4,4,4","lstm,copy-net,transformer,cnn",3.6,3.6,4.0
"In addition, field journeys are sometimes very dangerous.","In addition, field trips are sometimes very dangerous.","4,4,4,2,4","4,4,4,2,4","4,3,2,2,2","copy-net,transformer",3.6,3.6,2.6
"In some fields, Surveillance technology did have brought us tremendous benefit and advantage.","In some fields, surveillance technology did have brought us tremendous benefits and advantages.","3,2,3,1,3","2,2,2,1,2","4,4,4,3,4",smt,2.4,1.8,3.8
"Without life, we have nothing.","Without life, we have nothing to do.","4,3,4,3,4","4,3,4,3,1","3,1,1,2,1","copy-net,transformer",3.6,3.0,1.6
